Run,locking,substrate,size,pieceno,unique,axial_length_mm,widest_span_mm,width_ways_span,thickness_1,thickness_2,thickness_3,avg_thickness,avg_thickness_m,branched,no_branches,branch_1,branch_2,branch_3,avg_branch,dry_weight,dry_weight_corr,wet_weight,wet_weight_corr,mass_water,vol_water_in_voids,buoyant_weight,wet_coral_vol,dry_coral_vol,coral_wet_dens,coral_dry_dens,porosity,wave_period,wave_height_m,water_depth_m,E_value,calculated velocity_corrected,linear_wave_theory_velocity,Hs,T,depth_m,KC,FItoFD,24overKC2,InertiaSig,MaximumFrom,rock,walk_slide,flip,transport_after_slide_or_flip,movement_at_all,transport,greatest_movement_type-no_transport,greatest_movement_type-no_transport_walk_slide_combined,greatest_movement_type-transport,Waves,Remove_for_flip_analysis_but_not_movement_analysis
1,Free,Rubble,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
2,Free,Rubble,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
3,Free,Rubble,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
4,Free,Sand,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
5,Free,Sand,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
6,Free,Sand,Boulder,10,10B,101,101,65,45,52,31,42.66666667,0.042666667,Plate/Massive,NA,NA,NA,NA,NA,286.1,285.88,304.95,304.73,18.85,18.88792696,125.5,170,151.112073,1.792529412,1.891840898,0.111105453,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.767083846,12.86639584,40.78735737,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
7,Free,Rubble,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
8,Free,Rubble,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
9,Free,Rubble,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
10,Free,Sand,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
11,Free,Sand,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
12,Free,Sand,Boulder,11,11B,166,166,114,22,27,21,23.33333333,0.023333333,Plate/Massive,NA,NA,NA,NA,NA,341.88,341.66,373.8,373.58,31.92,31.98422432,198.9,130,98.01577568,2.873692308,3.485765405,0.246032495,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.402667634,7.036310071,12.19836684,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
13,Free,Rubble,Boulder,1,1B,69,69,61,15,25,14,18,0.018,Plate/Massive,NA,NA,NA,NA,NA,60.02,59.8,67.13,66.91,7.11,7.124305606,28.6,35,27.87569439,1.911714286,2.14523804,0.203551589,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.818272833,5.428010703,7.259273208,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
14,Free,Rubble,Boulder,1,1B,69,69,61,15,25,14,18,0.018,Plate/Massive,NA,NA,NA,NA,NA,60.02,59.8,67.13,66.91,7.11,7.124305606,28.6,35,27.87569439,1.911714286,2.14523804,0.203551589,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.818272833,5.428010703,7.259273208,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
15,Free,Rubble,Boulder,1,1B,69,69,61,15,25,14,18,0.018,Plate/Massive,NA,NA,NA,NA,NA,60.02,59.8,67.13,66.91,7.11,7.124305606,28.6,35,27.87569439,1.911714286,2.14523804,0.203551589,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.818272833,5.428010703,7.259273208,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
16,Free,Sand,Boulder,1,1B,69,69,61,15,25,14,18,0.018,Plate/Massive,NA,NA,NA,NA,NA,60.02,59.8,67.13,66.91,7.11,7.124305606,28.6,35,27.87569439,1.911714286,2.14523804,0.203551589,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.818272833,5.428010703,7.259273208,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
17,Free,Sand,Boulder,1,1B,69,69,61,15,25,14,18,0.018,Plate/Massive,NA,NA,NA,NA,NA,60.02,59.8,67.13,66.91,7.11,7.124305606,28.6,35,27.87569439,1.911714286,2.14523804,0.203551589,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.818272833,5.428010703,7.259273208,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
18,Free,Sand,Boulder,1,1B,69,69,61,15,25,14,18,0.018,Plate/Massive,NA,NA,NA,NA,NA,60.02,59.8,67.13,66.91,7.11,7.124305606,28.6,35,27.87569439,1.911714286,2.14523804,0.203551589,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.818272833,5.428010703,7.259273208,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
19,Free,Rubble,Boulder,2,2B,110,110,58,21,32,25,26,0.026,Plate/Massive,NA,NA,NA,NA,NA,143.72,143.5,169.52,169.3,25.8,25.85191064,79.4,70,44.14808936,2.418571429,3.250423791,0.369313009,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.258804269,7.840459905,15.14589101,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
20,Free,Rubble,Boulder,2,2B,110,110,58,21,32,25,26,0.026,Plate/Massive,NA,NA,NA,NA,NA,143.72,143.5,169.52,169.3,25.8,25.85191064,79.4,70,44.14808936,2.418571429,3.250423791,0.369313009,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.258804269,7.840459905,15.14589101,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
21,Free,Rubble,Boulder,2,2B,110,110,58,21,32,25,26,0.026,Plate/Massive,NA,NA,NA,NA,NA,143.72,143.5,169.52,169.3,25.8,25.85191064,79.4,70,44.14808936,2.418571429,3.250423791,0.369313009,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.258804269,7.840459905,15.14589101,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
22,Free,Sand,Boulder,2,2B,110,110,58,21,32,25,26,0.026,Plate/Massive,NA,NA,NA,NA,NA,143.72,143.5,169.52,169.3,25.8,25.85191064,79.4,70,44.14808936,2.418571429,3.250423791,0.369313009,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.258804269,7.840459905,15.14589101,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
23,Free,Sand,Boulder,2,2B,110,110,58,21,32,25,26,0.026,Plate/Massive,NA,NA,NA,NA,NA,143.72,143.5,169.52,169.3,25.8,25.85191064,79.4,70,44.14808936,2.418571429,3.250423791,0.369313009,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.258804269,7.840459905,15.14589101,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
24,Free,Sand,Boulder,2,2B,110,110,58,21,32,25,26,0.026,Plate/Massive,NA,NA,NA,NA,NA,143.72,143.5,169.52,169.3,25.8,25.85191064,79.4,70,44.14808936,2.418571429,3.250423791,0.369313009,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.258804269,7.840459905,15.14589101,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
25,Free,Rubble,Boulder,3,3B,135,135,73,12,22,22,18.66666667,0.018666667,Plate/Massive,NA,NA,NA,NA,NA,172.09,171.87,185.79,185.57,13.7,13.72756495,93.4,90,76.27243505,2.061888889,2.253369778,0.152528499,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.753334487,5.629048237,7.806955278,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
26,Free,Rubble,Boulder,3,3B,135,135,73,12,22,22,18.66666667,0.018666667,Plate/Massive,NA,NA,NA,NA,NA,172.09,171.87,185.79,185.57,13.7,13.72756495,93.4,90,76.27243505,2.061888889,2.253369778,0.152528499,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.753334487,5.629048237,7.806955278,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
27,Free,Rubble,Boulder,3,3B,135,135,73,12,22,22,18.66666667,0.018666667,Plate/Massive,NA,NA,NA,NA,NA,172.09,171.87,185.79,185.57,13.7,13.72756495,93.4,90,76.27243505,2.061888889,2.253369778,0.152528499,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.753334487,5.629048237,7.806955278,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
28,Free,Sand,Boulder,3,3B,135,135,73,12,22,22,18.66666667,0.018666667,Plate/Massive,NA,NA,NA,NA,NA,172.09,171.87,185.79,185.57,13.7,13.72756495,93.4,90,76.27243505,2.061888889,2.253369778,0.152528499,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.753334487,5.629048237,7.806955278,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
29,Free,Sand,Boulder,3,3B,135,135,73,12,22,22,18.66666667,0.018666667,Plate/Massive,NA,NA,NA,NA,NA,172.09,171.87,185.79,185.57,13.7,13.72756495,93.4,90,76.27243505,2.061888889,2.253369778,0.152528499,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.753334487,5.629048237,7.806955278,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
30,Free,Sand,Boulder,3,3B,135,135,73,12,22,22,18.66666667,0.018666667,Plate/Massive,NA,NA,NA,NA,NA,172.09,171.87,185.79,185.57,13.7,13.72756495,93.4,90,76.27243505,2.061888889,2.253369778,0.152528499,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.753334487,5.629048237,7.806955278,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
31,Free,Rubble,Boulder,4,4B,116,116,108,27,41,36,34.66666667,0.034666667,Plate/Massive,NA,NA,NA,NA,NA,287.27,287.05,328.44,328.22,41.17,41.25283569,145.3,150,108.7471643,2.188133333,2.639609059,0.275018905,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.944103193,10.45394664,26.92602899,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
32,Free,Rubble,Boulder,4,4B,116,116,108,27,41,36,34.66666667,0.034666667,Plate/Massive,NA,NA,NA,NA,NA,287.27,287.05,328.44,328.22,41.17,41.25283569,145.3,150,108.7471643,2.188133333,2.639609059,0.275018905,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.944103193,10.45394664,26.92602899,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
33,Free,Rubble,Boulder,4,4B,116,116,108,27,41,36,34.66666667,0.034666667,Plate/Massive,NA,NA,NA,NA,NA,287.27,287.05,328.44,328.22,41.17,41.25283569,145.3,150,108.7471643,2.188133333,2.639609059,0.275018905,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.944103193,10.45394664,26.92602899,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
34,Free,Sand,Boulder,4,4B,116,116,108,27,41,36,34.66666667,0.034666667,Plate/Massive,NA,NA,NA,NA,NA,287.27,287.05,328.44,328.22,41.17,41.25283569,145.3,150,108.7471643,2.188133333,2.639609059,0.275018905,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.944103193,10.45394664,26.92602899,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
35,Free,Sand,Boulder,4,4B,116,116,108,27,41,36,34.66666667,0.034666667,Plate/Massive,NA,NA,NA,NA,NA,287.27,287.05,328.44,328.22,41.17,41.25283569,145.3,150,108.7471643,2.188133333,2.639609059,0.275018905,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.944103193,10.45394664,26.92602899,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
36,Free,Sand,Boulder,4,4B,116,116,108,27,41,36,34.66666667,0.034666667,Plate/Massive,NA,NA,NA,NA,NA,287.27,287.05,328.44,328.22,41.17,41.25283569,145.3,150,108.7471643,2.188133333,2.639609059,0.275018905,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,0.944103193,10.45394664,26.92602899,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
37,Free,Rubble,Boulder,5,5B,102,102,98,15,31,20,22,0.022,Plate/Massive,NA,NA,NA,NA,NA,188.13,187.91,218.94,218.72,30.81,30.87199096,95.2,100,69.12800904,2.1872,2.718290352,0.30871991,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.487677773,6.634235304,10.84409948,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
38,Free,Rubble,Boulder,5,5B,102,102,98,15,31,20,22,0.022,Plate/Massive,NA,NA,NA,NA,NA,188.13,187.91,218.94,218.72,30.81,30.87199096,95.2,100,69.12800904,2.1872,2.718290352,0.30871991,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.487677773,6.634235304,10.84409948,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
39,Free,Rubble,Boulder,5,5B,102,102,98,15,31,20,22,0.022,Plate/Massive,NA,NA,NA,NA,NA,188.13,187.91,218.94,218.72,30.81,30.87199096,95.2,100,69.12800904,2.1872,2.718290352,0.30871991,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.487677773,6.634235304,10.84409948,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
40,Free,Sand,Boulder,5,5B,102,102,98,15,31,20,22,0.022,Plate/Massive,NA,NA,NA,NA,NA,188.13,187.91,218.94,218.72,30.81,30.87199096,95.2,100,69.12800904,2.1872,2.718290352,0.30871991,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.487677773,6.634235304,10.84409948,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
41,Free,Sand,Boulder,5,5B,102,102,98,15,31,20,22,0.022,Plate/Massive,NA,NA,NA,NA,NA,188.13,187.91,218.94,218.72,30.81,30.87199096,95.2,100,69.12800904,2.1872,2.718290352,0.30871991,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.487677773,6.634235304,10.84409948,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
42,Free,Sand,Boulder,5,5B,102,102,98,15,31,20,22,0.022,Plate/Massive,NA,NA,NA,NA,NA,188.13,187.91,218.94,218.72,30.81,30.87199096,95.2,100,69.12800904,2.1872,2.718290352,0.30871991,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.487677773,6.634235304,10.84409948,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
43,Free,Rubble,Boulder,6,6B,66,66,50,14,14,16,14.66666667,0.014666667,Plate/Massive,NA,NA,NA,NA,NA,40.82,40.6,44.82,44.6,4,4.008048161,22.3,20,15.99195184,2.23,2.53877703,0.200402408,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.231516608,4.422823637,4.819599989,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
44,Free,Rubble,Boulder,6,6B,66,66,50,14,14,16,14.66666667,0.014666667,Plate/Massive,NA,NA,NA,NA,NA,40.82,40.6,44.82,44.6,4,4.008048161,22.3,20,15.99195184,2.23,2.53877703,0.200402408,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.231516608,4.422823637,4.819599989,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
45,Free,Rubble,Boulder,6,6B,66,66,50,14,14,16,14.66666667,0.014666667,Plate/Massive,NA,NA,NA,NA,NA,40.82,40.6,44.82,44.6,4,4.008048161,22.3,20,15.99195184,2.23,2.53877703,0.200402408,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.231516608,4.422823637,4.819599989,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
46,Free,Sand,Boulder,6,6B,66,66,50,14,14,16,14.66666667,0.014666667,Plate/Massive,NA,NA,NA,NA,NA,40.82,40.6,44.82,44.6,4,4.008048161,22.3,20,15.99195184,2.23,2.53877703,0.200402408,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.231516608,4.422823637,4.819599989,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
47,Free,Sand,Boulder,6,6B,66,66,50,14,14,16,14.66666667,0.014666667,Plate/Massive,NA,NA,NA,NA,NA,40.82,40.6,44.82,44.6,4,4.008048161,22.3,20,15.99195184,2.23,2.53877703,0.200402408,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.231516608,4.422823637,4.819599989,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
48,Free,Sand,Boulder,6,6B,66,66,50,14,14,16,14.66666667,0.014666667,Plate/Massive,NA,NA,NA,NA,NA,40.82,40.6,44.82,44.6,4,4.008048161,22.3,20,15.99195184,2.23,2.53877703,0.200402408,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.231516608,4.422823637,4.819599989,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
49,Free,Rubble,Boulder,7,7B,113,113,89,30,18,14,20.66666667,0.020666667,Plate/Massive,NA,NA,NA,NA,NA,113.84,113.62,128.66,128.44,14.82,14.84981844,64.8,50,35.15018156,2.5688,3.232415736,0.296996369,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.583656958,6.232160538,9.569494894,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
50,Free,Rubble,Boulder,7,7B,113,113,89,30,18,14,20.66666667,0.020666667,Plate/Massive,NA,NA,NA,NA,NA,113.84,113.62,128.66,128.44,14.82,14.84981844,64.8,50,35.15018156,2.5688,3.232415736,0.296996369,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.583656958,6.232160538,9.569494894,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
51,Free,Rubble,Boulder,7,7B,113,113,89,30,18,14,20.66666667,0.020666667,Plate/Massive,NA,NA,NA,NA,NA,113.84,113.62,128.66,128.44,14.82,14.84981844,64.8,50,35.15018156,2.5688,3.232415736,0.296996369,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.583656958,6.232160538,9.569494894,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
52,Free,Sand,Boulder,7,7B,113,113,89,30,18,14,20.66666667,0.020666667,Plate/Massive,NA,NA,NA,NA,NA,113.84,113.62,128.66,128.44,14.82,14.84981844,64.8,50,35.15018156,2.5688,3.232415736,0.296996369,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.583656958,6.232160538,9.569494894,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
53,Free,Sand,Boulder,7,7B,113,113,89,30,18,14,20.66666667,0.020666667,Plate/Massive,NA,NA,NA,NA,NA,113.84,113.62,128.66,128.44,14.82,14.84981844,64.8,50,35.15018156,2.5688,3.232415736,0.296996369,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.583656958,6.232160538,9.569494894,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
54,Free,Sand,Boulder,7,7B,113,113,89,30,18,14,20.66666667,0.020666667,Plate/Massive,NA,NA,NA,NA,NA,113.84,113.62,128.66,128.44,14.82,14.84981844,64.8,50,35.15018156,2.5688,3.232415736,0.296996369,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.583656958,6.232160538,9.569494894,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
55,Free,Rubble,Boulder,8,8B,100,100,76,21,23,25,23,0.023,Plate/Massive,NA,NA,NA,NA,NA,112.56,112.34,119.28,119.06,6.72,6.73352091,60.3,50,43.26647909,2.3812,2.596467343,0.134670418,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.42299613,6.935791454,11.85233187,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
56,Free,Rubble,Boulder,8,8B,100,100,76,21,23,25,23,0.023,Plate/Massive,NA,NA,NA,NA,NA,112.56,112.34,119.28,119.06,6.72,6.73352091,60.3,50,43.26647909,2.3812,2.596467343,0.134670418,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.42299613,6.935791454,11.85233187,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
57,Free,Rubble,Boulder,8,8B,100,100,76,21,23,25,23,0.023,Plate/Massive,NA,NA,NA,NA,NA,112.56,112.34,119.28,119.06,6.72,6.73352091,60.3,50,43.26647909,2.3812,2.596467343,0.134670418,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.42299613,6.935791454,11.85233187,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
58,Free,Sand,Boulder,8,8B,100,100,76,21,23,25,23,0.023,Plate/Massive,NA,NA,NA,NA,NA,112.56,112.34,119.28,119.06,6.72,6.73352091,60.3,50,43.26647909,2.3812,2.596467343,0.134670418,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.42299613,6.935791454,11.85233187,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
59,Free,Sand,Boulder,8,8B,100,100,76,21,23,25,23,0.023,Plate/Massive,NA,NA,NA,NA,NA,112.56,112.34,119.28,119.06,6.72,6.73352091,60.3,50,43.26647909,2.3812,2.596467343,0.134670418,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.42299613,6.935791454,11.85233187,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
60,Free,Sand,Boulder,8,8B,100,100,76,21,23,25,23,0.023,Plate/Massive,NA,NA,NA,NA,NA,112.56,112.34,119.28,119.06,6.72,6.73352091,60.3,50,43.26647909,2.3812,2.596467343,0.134670418,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,1.42299613,6.935791454,11.85233187,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_lower_velocity_added
61,Free,Rubble,Boulder,9,9B,67,67,7,19,22,6,15.66666667,0.015666667,Plate/Massive,NA,NA,NA,NA,NA,56.47,56.25,62.17,61.95,5.7,5.711468629,35.4,20,14.28853137,3.0975,3.936723694,0.285573431,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.089079381,4.724379787,5.499223319,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
62,Free,Rubble,Boulder,9,9B,67,67,7,19,22,6,15.66666667,0.015666667,Plate/Massive,NA,NA,NA,NA,NA,56.47,56.25,62.17,61.95,5.7,5.711468629,35.4,20,14.28853137,3.0975,3.936723694,0.285573431,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.089079381,4.724379787,5.499223319,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
63,Free,Rubble,Boulder,9,9B,67,67,7,19,22,6,15.66666667,0.015666667,Plate/Massive,NA,NA,NA,NA,NA,56.47,56.25,62.17,61.95,5.7,5.711468629,35.4,20,14.28853137,3.0975,3.936723694,0.285573431,1,0.03,0.42,0.207019668,0.032728911,0.032455361,0.03,1,0.42,2.089079381,4.724379787,5.499223319,Yes,Inertia,0,0,0,0,0,0,None,None,None,Regular,No_original
